2023-06-14 16:32:55.510 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-14 16:32:55.527 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-06-14 16:32:55.995 [main] INFO  c.s.SpaceX.config.CorsConfig - cors config enable
2023-06-14 16:32:56.834 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Started SpringBootWebStarterApplicationTests in 1.85 seconds (process running for 2.438)
2023-06-14 16:32:57.363 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:32:57.370 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.mapper.UserMapperTest
2023-06-14 16:32:57.414 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-14 16:32:57.745 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5345552f
2023-06-14 16:32:57.746 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-14 16:32:57.820 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-14 16:32:57.834 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-14 16:34:28.863 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests]: SpringBootWebStarterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:34:28.915 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests
2023-06-14 16:34:29.088 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-06-14 16:34:29.101 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Starting SpringBootWebStarterApplicationTests using Java 17.0.6 with PID 95406 (started by dushaoxiong in /Users/dushaoxiong/code/Idea/SpaceX)
2023-06-14 16:34:29.102 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - The following 1 profile is active: "HWCloud"
2023-06-14 16:34:29.494 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-14 16:34:29.496 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-14 16:34:29.515 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2023-06-14 16:34:30.108 [main] INFO  c.s.SpaceX.config.CorsConfig - cors config enable
2023-06-14 16:34:30.877 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Started SpringBootWebStarterApplicationTests in 1.904 seconds (process running for 2.485)
2023-06-14 16:34:31.391 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:34:31.395 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.mapper.UserMapperTest
2023-06-14 16:34:31.431 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-06-14 16:34:31.751 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5345552f
2023-06-14 16:34:31.752 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-06-14 16:34:31.830 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-06-14 16:34:31.845 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-06-14 16:36:49.938 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests]: SpringBootWebStarterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-06-14 16:36:49.989 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.shoxiongdu.SpaceX.SpringBootWebStarterApplication for test class cn.shoxiongdu.SpaceX.SpringBootWebStarterApplicationTests
2023-06-14 16:36:50.170 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-06-14 16:36:50.186 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - Starting SpringBootWebStarterApplicationTests using Java 17.0.6 with PID 96336 (started by dushaoxiong in /Users/dushaoxiong/code/Idea/SpaceX)
2023-06-14 16:36:50.186 [main] INFO  c.s.S.SpringBootWebStarterApplicationTests - The following 1 profile is active: "HWCloud"
2023-06-14 16:36:50.538 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-14 16:36:50.540 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
